PartyJoin#0,"""/toge /ci2 1 열심히 하겠습니다!"""
LevelUp#31,"""おめでとうございます。"""
InvokeSkill1#31,"""狙い撃つ！"""
InvokeSkill2#31,"""絶対に外さないよ。"""
InvokeSkill3#31,"""そこだね。"""
PBFull#31,"""これで……みんなを守る！"""
PBRelease#31,"""かなり痛いよ。ごめんね。"""
Avoid#31,"""わっ……！"""
HealSelf#22,"""これでいいか。"""
BuffSelf#22,"""これでよし。"""
HealOther#31,"""無理しないでね。"""
BuffOther#31,"""よかったら、これを。"""
ItemRare#31,"""あ、いいもの見つけたね！"""
DamageSmall#31,"""うっ！"""
DamageMiddle#31,"""いたっ！"""
DamageLarge#31,"""くっ！"""
MemberDamaged#31,"""だ、大丈夫!?"""
MemberDead#31,"""そんな……！\u3000しっかりして！"""
Resurrect#31,"""ありがとう。助かりました。"""
PartyJoin#40,"""よろしくお願いします。"""
DestroyEnemy1#32,"""すごいわ！"""
DestroyEnemy2#32,"""さすが、慣れてるわね。"""
DestroyEnemy3#32,"""頼りになるわ。"""
Die#32,"""ううっ、ダメそう……。"""
ThankHeal#32,"""ありがとう。"""
ThankBuff#32,"""助かるわ。"""
DefeatEnemy#32,"""みんな、無事よね？"""
LevelUp#32,"""おめでとう！"""
InvokeSkill1#32,"""いくわよ！"""
InvokeSkill2#32,"""えーいっ！"""
InvokeSkill3#32,"""これならどう？"""
TechFire#16,"""燃えてっ……！"""
TechIce#16,"""凍って！"""
TechThunder#16,"""雷よ……！"""
TechWind#16,"""切り裂け！"""
TechLight#16,"""光よ……！"""
TechDark#16,"""闇よ……！"""
PBFull#32,"""よし、準備は万全よ！"""
PBRelease#32,"""動かないで！当たらないと困るから。"""
Avoid#32,"""きゃっ！"""
HealSelf#23,"""これで安心ね。"""
BuffSelf#23,"""これでよし、っと。"""
HealOther#32,"""回復するわ！"""
BuffOther#32,"""しっかりね！"""
ItemRare#32,"""それ、いいものみたいね。"""
DamageSmall#32,"""くっ！"""
DamageMiddle#32,"""これくらいっ……！"""
DamageLarge#32,"""いったぁ！"""
MemberDamaged#32,"""大丈夫!?\u3000無理しないでね！"""
MemberDead#32,"""ま、間に合わなかった……！"""
Resurrect#32,"""もう負けないんだから。"""
PartyJoin#41,"""よろしく！"""
DestroyEnemy1#33,"""すごいわ！"""
DestroyEnemy2#33,"""さすが、慣れてるわね。"""
DestroyEnemy3#33,"""頼りになるわ。"""
Die#33,"""ううっ、ダメそう……。"""
ThankHeal#33,"""ありがとう。"""
ThankBuff#33,"""助かるわ。"""
DefeatEnemy#33,"""みんな、無事よね？"""
LevelUp#33,"""おめでとう！"""
InvokeSkill1#33,"""いくわよ！"""
InvokeSkill2#33,"""えーいっ！"""
InvokeSkill3#33,"""これならどう？"""
TechFire#17,"""燃えてっ……！"""
TechIce#17,"""凍って！"""
TechThunder#17,"""雷よ……！"""
TechWind#17,"""切り裂け！"""
TechLight#17,"""光よ……！"""
TechDark#17,"""闇よ……！"""
PBFull#33,"""よし、準備は万全よ！"""
PBRelease#33,"""動かないで！当たらないと困るから。"""
Avoid#33,"""きゃっ！"""
HealSelf#24,"""これで安心ね。"""
BuffSelf#24,"""これでよし、っと。"""
HealOther#33,"""回復するわ！"""
BuffOther#33,"""しっかりね！"""
ItemRare#33,"""それ、いいものみたいね。"""
DamageSmall#33,"""くっ！"""
DamageMiddle#33,"""これくらいっ……！"""
DamageLarge#33,"""いったぁ！"""
MemberDamaged#33,"""大丈夫!?\u3000無理しないでね！"""
MemberDead#33,"""ま、間に合わなかった……！"""
Resurrect#33,"""もう負けないんだから。"""
PartyJoin#42,"""よろしく！"""
DestroyEnemy1#34,"""ほう、やるな。"""
DestroyEnemy2#34,"""大したものだ。"""
DestroyEnemy3#34,"""リテムのアークスでないのが惜しいな。"""
Die#34,"""すまない……後は、頼む……。"""
ThankHeal#34,"""手間をかけさせたな。"""
ThankBuff#34,"""ああ、助かる。"""
DefeatEnemy#34,"""これで片づいたか。"""
LevelUp#34,"""ほう、さらに腕を上げたな。"""
InvokeSkill1#34,"""はっ！"""
InvokeSkill2#34,"""せいっ！"""
InvokeSkill3#34,"""斬る……！"""
PBFull#34,"""準備は整った！"""
PBRelease#34,"""みんな、下がってろ……！"""
Avoid#34,"""ふっ……！"""
HealSelf#25,"""よし。"""
BuffSelf#25,"""念には念をだ。"""
HealOther#34,"""回復するぞ！"""
BuffOther#34,"""しっかりな。"""
ItemRare#34,"""ふむ、それは……！"""
DamageSmall#34,"""うっ！"""
DamageMiddle#34,"""ちっ！"""
DamageLarge#34,"""ぐうっ……！"""
MemberDamaged#34,"""きついときは下がってろよ。"""
MemberDead#34,"""助けてやれなくて、すまない……！"""
Resurrect#34,"""ああ、まだ戦える……！"""
PartyJoin#43,"""……よろしく頼む。"""
DestroyEnemy1#35,"""……結構やるのね。"""
DestroyEnemy2#35,"""ふぅん。なかなかってとこね。"""
DestroyEnemy3#35,"""まあ、悪くないんじゃない？"""
Die#35,"""うそ……わたしが……!?"""
ThankHeal#35,"""お礼は結果で返すわ！"""
ThankBuff#35,"""あ、あたしは大丈夫なんだけど！"""
DefeatEnemy#35,"""あたしの手にかかればこんなものよ！"""
LevelUp#35,"""……あたしも負けてられないわね。"""
InvokeSkill1#35,"""逃げられると思ってる？"""
InvokeSkill2#35,"""とらえたっ！"""
InvokeSkill3#35,"""殲滅するっ！"""
PBFull#35,"""あたしの力、見せてあげる！"""
PBRelease#35,"""落ちろおおおっ……!!"""
Avoid#35,"""よっと！"""
HealSelf#26,"""まだまだいける！"""
BuffSelf#26,"""これでもっと戦える！"""
HealOther#35,"""しょうがないわねぇ。"""
BuffOther#35,"""はい。足引っ張らないでよね？"""
ItemRare#35,"""いいものみつけたね！"""
DamageSmall#35,"""うっ！"""
DamageMiddle#35,"""このっ……！"""
DamageLarge#35,"""くうっ！"""
MemberDamaged#35,"""ちょっと！\u3000平気！？"""
MemberDead#35,"""しっかりしなさいよ！"""
Resurrect#35,"""同じヘマはもうしない！"""
PartyJoin#44,"""あたしがいれば百人力よ！"""
DestroyEnemy1#36,"""へえ、大したもんだ！"""
DestroyEnemy2#36,"""オレも負けてられねぇな！"""
DestroyEnemy3#36,"""いい調子だな！"""
Die#36,"""オレが、こんなところで……。"""
ThankHeal#36,"""悪ぃな。"""
ThankBuff#36,"""助かるぜ。"""
DefeatEnemy#36,"""オレの手にかかればこんなもんよ！"""
LevelUp#36,"""お、さらに強くなったか！"""
InvokeSkill1#36,"""そこだっ！"""
InvokeSkill2#36,"""おらっ！"""
InvokeSkill3#36,"""くらえっ！"""
PBFull#36,"""よっしゃ、準備オーケーだ！"""
PBRelease#36,"""ぶっつぶしてやるぜぇぇーー!!"""
Avoid#36,"""おっと！"""
HealSelf#27,"""まだまだいけるぜ！"""
BuffSelf#27,"""これで万全だ。"""
HealOther#36,"""あまり無理するんじゃねぇぞ。"""
BuffOther#36,"""ほらよ。"""
ItemRare#36,"""おおっ、ついてるじゃねぇか！"""
DamageSmall#36,"""くっ！"""
DamageMiddle#36,"""ちいっ！"""
DamageLarge#36,"""うおっ！"""
MemberDamaged#36,"""おい、気をつけろよ！"""
MemberDead#36,"""なんてこった……！"""
Resurrect#36,"""こっからが本番だぜ！"""
PartyJoin#45,"""オレがいれば百人力だぜ！"""
DestroyEnemy1#37,"""なかなかの腕だな！"""
DestroyEnemy2#37,"""いい戦いっぷりだ！"""
DestroyEnemy3#37,"""いいねぇ。どんどん行こうぜ！"""
Die#37,"""あ……くっそぉ～……。"""
ThankHeal#37,"""ありがとよ！"""
ThankBuff#37,"""助かるぜ！"""
DefeatEnemy#37,"""よし、討伐完了だな。"""
LevelUp#37,"""強くなったじゃねーか！"""
InvokeSkill1#37,"""おらっ！"""
InvokeSkill2#37,"""せいっ！"""
InvokeSkill3#37,"""遅いぜ！"""
PBFull#37,"""きたきたきたーっ！"""
PBRelease#37,"""でっかいのいくぜぇぇー!!"""
Avoid#37,"""ひょい！"""
HealSelf#28,"""回復回復！"""
BuffSelf#28,"""よし、戦闘再開だ！"""
HealOther#37,"""大丈夫かよ？"""
BuffOther#37,"""これ使っとけ。"""
ItemRare#37,"""いいものみつけたじゃねーか。"""
DamageSmall#37,"""つっ！"""
DamageMiddle#37,"""くそっ！"""
DamageLarge#37,"""うぎゅ！"""
MemberDamaged#37,"""大丈夫かよ？"""
MemberDead#37,"""あちゃ～。やっちまったか……。"""
Resurrect#37,"""おっしゃ、立て直すぜー！"""
PartyJoin#46,"""ま、楽しくやろうぜ！"""
DestroyEnemy1#38,"""おや、もう倒したのかい？"""
DestroyEnemy2#38,"""大したものだ。<br>華麗さではボクに及ばないが。"""
DestroyEnemy3#38,"""ふむ……キミには素質があるね。"""
Die#38,"""無様なところを見られてしまったな……。"""
ThankHeal#38,"""ありがとう。"""
ThankBuff#38,"""助かるよ。"""
DefeatEnemy#38,"""ふぅ、及第点といったところか……。"""
LevelUp#38,"""キミの美しさにも磨きがかかったね。"""
InvokeSkill1#38,"""華麗に！"""
InvokeSkill2#38,"""舞うように！"""
InvokeSkill3#38,"""この角度がいい！"""
PBFull#38,"""ボクの麗しき技を披露するときか……"""
PBRelease#38,"""見てくれ、みんな……！"""
Avoid#38,"""はっ！"""
HealSelf#29,"""ここで、回復だ！"""
BuffSelf#29,"""ついでに服も整えておこう。"""
HealOther#38,"""大丈夫かい？"""
BuffOther#38,"""これを使いたまえ！"""
ItemRare#38,"""それは、キミにふさわしいものだね。"""
DamageSmall#38,"""つっ！"""
DamageMiddle#38,"""うっ！"""
DamageLarge#38,"""くうっ！"""
MemberDamaged#38,"""みっともない姿をさらしては駄目だ！"""
MemberDead#38,"""ああ……せめて美しく、いってくれ……。"""
Resurrect#38,"""恥の上塗りにならないようにするよ。"""
PartyJoin#47,"""共に美しく戦おうじゃないか。"""
DestroyEnemy1#39,"""ももも……もう、<br>倒しちゃったんですか!?"""
DestroyEnemy2#39,"""すすす……すごいです！"""
DestroyEnemy3#39,"""わ……私も、頑張ります……！"""
Die#39,"""ううっ……撤退、します……。"""
ThankHeal#39,"""あ、ありがとうございます。"""
ThankBuff#39,"""……すみません。"""
DefeatEnemy#39,"""こここ……ここは終わりですか？<br>よかった……。"""
LevelUp#39,"""わあ、強くなったんですね！"""
InvokeSkill1#39,"""こここここ来ないで！"""
InvokeSkill2#39,"""当たって！"""
InvokeSkill3#39,"""そ、それっ！"""
TechFire#18,"""はあーっ！"""
TechIce#18,"""そこっ！"""
TechThunder#18,"""で、電撃いきます！"""
TechWind#18,"""いけーっ！"""
TechLight#18,"""まぶしいですよ！"""
TechDark#18,"""こ、これでどうです！"""
PBFull#39,"""や……やっと、溜まった！"""
PBRelease#39,"""お願い、外さないで……！"""
Avoid#39,"""わーっ！"""
HealSelf#30,"""危ない危ない……。"""
BuffSelf#30,"""大丈夫大丈夫……。"""
HealOther#39,"""か、回復します！"""
BuffOther#39,"""ほ、補助します！"""
ItemRare#39,"""う、うそっ！<br>そんな珍しいものが!?"""
DamageSmall#39,"""くっ！"""
DamageMiddle#39,"""いたっ！"""
DamageLarge#39,"""ううっ！"""
MemberDamaged#39,"""だだだ大丈夫ですか!?"""
MemberDead#39,"""助けられず……申し訳ありません……。"""
Resurrect#39,"""こ、今度こそ……しっかりしないと！"""
PartyJoin#48,"""わ、私も精一杯頑張りますので……。"""
DestroyEnemy1#40,"""いいぞ。"""
DestroyEnemy2#40,"""うむ、上々だ。"""
DestroyEnemy3#40,"""完璧だ。"""
ThankHeal#40,"""礼を言うぞ。"""
ThankBuff#40,"""すまないな。"""
DefeatEnemy#40,"""うむ、次へ行こう。"""
LevelUp#40,"""さらに腕を上げるとは……。"""
InvokeSkill1#40,"""はあっ！"""
InvokeSkill2#40,"""せいっ！"""
InvokeSkill3#40,"""とらえた！"""
PBFull#40,"""少し下がっていてくれ。"""
PBRelease#40,"""全力でいかせてもらう！"""
Avoid#40,"""ふんっ……！"""
HealOther#40,"""恐れずにいけ。"""
BuffOther#40,"""これを使うといい。"""
ItemRare#40,"""キミにふさわしいものだ。"""
DamageSmall#40,"""くっ！"""
DamageMiddle#40,"""うっ！"""
DamageLarge#40,"""ぐうっ！"""
MemberDamaged#40,"""取り乱さないように。"""
MemberDead#40,"""私の力不足だ……。"""
PartyJoin#49,"""しっかり連携を取っていくぞ。"""
DestroyEnemy1#41,"""いいですね。"""
DestroyEnemy2#41,"""さすがです。"""
DestroyEnemy3#41,"""参考になります。"""
ThankHeal#41,"""ありがとうございます。"""
ThankBuff#41,"""助かります。"""
DefeatEnemy#41,"""なんとか倒せましたね。"""
LevelUp#41,"""また一段、強くなりましたね。"""
TechFire#19,"""はっ！"""
TechIce#19,"""やっ！"""
TechThunder#19,"""ほっ！"""
TechWind#19,"""それっ！"""
TechLight#19,"""たっ！"""
TechDark#19,"""えいっ！"""
PBFull#41,"""準備ができました！"""
PBRelease#41,"""手加減しません！"""
Avoid#41,"""……ふっ！"""
HealSelf#31,"""まだいけます。"""
BuffSelf#31,"""これでなんとか。"""
HealOther#41,"""これでどうでしょう？"""
BuffOther#41,"""よければこれを。"""
ItemRare#41,"""フフ、いいものですね。"""
DamageSmall#41,"""うっ。"""
DamageMiddle#41,"""ううっ。"""
DamageLarge#41,"""くっ！"""
MemberDamaged#41,"""大丈夫ですか……!?"""
MemberDead#41,"""ど、どうしたら……！"""
PartyJoin#50,"""よろしくお願いします。"""
DestroyEnemy1#42,"""ほう。"""
DestroyEnemy2#42,"""やるな。"""
DestroyEnemy3#42,"""いいぞ。"""
ThankHeal#42,"""助かった。礼を言う。"""
ThankBuff#42,"""すまない。"""
DefeatEnemy#42,"""次の目標を……。"""
LevelUp#42,"""上達がはやいな。"""
InvokeSkill1#41,"""はっ！"""
InvokeSkill2#41,"""たっ！"""
InvokeSkill3#41,"""ふんっ！"""
PBFull#42,"""そろそろ頃合いだ。"""
PBRelease#42,"""これを受けきれるか？"""
Avoid#42,"""ふっ。"""
HealOther#42,"""まだやれるはずだ。"""
BuffOther#42,"""落ち着いていけ。"""
ItemRare#42,"""いいものを手に入れたな。"""
DamageSmall#42,"""うっ……。"""
DamageMiddle#42,"""くっ……。"""
DamageLarge#42,"""むうっ……。"""
MemberDamaged#42,"""平気か？"""
MemberDead#42,"""あたしの責任だ……。"""
PartyJoin#51,"""手を抜かずにいくぞ。"""
DestroyEnemy1#43,"""よしっ！"""
DestroyEnemy2#43,"""そうだ！"""
DestroyEnemy3#43,"""いいぞ！"""
ThankHeal#43,"""借りができたな！"""
ThankBuff#43,"""感謝するぞ！"""
DefeatEnemy#43,"""よしっ、問題なしだ！"""
LevelUp#43,"""貴官の成長には驚かされる。"""
InvokeSkill1#42,"""いくぞ！"""
InvokeSkill2#42,"""とらえたぞ！"""
InvokeSkill3#42,"""これはどうだ！"""
TechFire#20,"""やあっ！"""
TechIce#20,"""たあっ！"""
TechThunder#20,"""それっ！"""
TechWind#20,"""ふんっ！"""
TechLight#20,"""ほっ！"""
TechDark#20,"""はあっ！"""
PBFull#43,"""フォトンが……漲る！"""
PBRelease#43,"""だああああああ！"""
Avoid#43,"""せいっ。"""
HealSelf#32,"""これでなんとか。"""
BuffSelf#32,"""備えておこう！"""
HealOther#43,"""まだまだやれるぞ！"""
BuffOther#43,"""さあ、頑張れ！"""
ItemRare#43,"""いいものを見つけたな！"""
DamageSmall#43,"""うっ！"""
DamageMiddle#43,"""まだまだ！"""
DamageLarge#43,"""うぐっ！"""
MemberDamaged#43,"""まだやれるか？"""
MemberDead#43,"""もっと訓練が必要だな！"""
PartyJoin#52,"""貴官の腕前、見させてもらうぞ！"""
DestroyEnemy1#44,"""ほう……。"""
DestroyEnemy2#44,"""やるな……。"""
DestroyEnemy3#44,"""見事だ……。"""
ThankHeal#44,"""面倒をかけた……。"""
ThankBuff#44,"""世話になった……。"""
DefeatEnemy#44,"""この程度か……。"""
LevelUp#44,"""よかったな……。"""
InvokeSkill1#43,"""そこだ。"""
InvokeSkill2#43,"""覚悟しろ。"""
InvokeSkill3#43,"""仕留める。"""
PBFull#44,"""さて、準備は整った。"""
PBRelease#44,"""消えろ……！"""
Avoid#44,"""はっ！"""
HealOther#44,"""もっと戦えるな？"""
BuffOther#44,"""足を引っ張るなよ？"""
ItemRare#44,"""大事にしろ……。"""
DamageSmall#44,"""うっ……。"""
DamageMiddle#44,"""くっ……。"""
DamageLarge#44,"""ぐっ……。"""
MemberDamaged#44,"""まだ力を出し切っていないだろ？"""
MemberDead#44,"""仕方がない、下がっていろ……。"""
PartyJoin#53,"""楽しませてもらうぞ……。"""
DestroyEnemy1#45,"""いい感じだ！"""
DestroyEnemy2#45,"""や、やるな！"""
DestroyEnemy3#45,"""す、すげえな……！"""
ThankHeal#45,"""おう、ワリィな！"""
ThankBuff#45,"""メチャクチャ助かる！"""
DefeatEnemy#45,"""きれいに片づいたな！"""
LevelUp#45,"""力つけてるなあ！"""
InvokeSkill1#44,"""おりゃ！"""
InvokeSkill2#44,"""どりゃ！"""
InvokeSkill3#44,"""そりゃ！"""
PBFull#45,"""ふふふふ……。"""
PBRelease#45,"""もう誰も俺を止められない！"""
Avoid#45,"""あぶなっ！"""
HealSelf#33,"""ふう……。"""
BuffSelf#33,"""はあ……。"""
HealOther#45,"""任せろ！"""
BuffOther#45,"""特別だぞ！"""
ItemRare#45,"""それ、いいな……！"""
DamageSmall#45,"""あうっ！"""
DamageMiddle#45,"""はうっ！"""
DamageLarge#45,"""ぐふっ！"""
MemberDamaged#45,"""切り替えるんだ！"""
MemberDead#45,"""すまん、力になれなかった……。"""
PartyJoin#54,"""俺が力になってやる！"""
DestroyEnemy1#46,"""よし……。"""
DestroyEnemy2#46,"""その調子だ……。"""
DestroyEnemy3#46,"""問題ない……。"""
ThankHeal#46,"""ふむ、ありがとう。"""
ThankBuff#46,"""気遣い感謝する。"""
DefeatEnemy#46,"""片付いたようだな……。"""
LevelUp#46,"""なかなかの素質だ……。"""
InvokeSkill1#45,"""斬り刻む。"""
InvokeSkill2#45,"""いくぞ。"""
InvokeSkill3#45,"""食らうがいい。"""
PBFull#46,"""容赦しない……。"""
PBRelease#46,"""塵となれ……！"""
Avoid#46,"""せいっ！"""
HealOther#46,"""息を整えるんだ。"""
BuffOther#46,"""持ちつ持たれつだ。"""
ItemRare#46,"""ふむ、見かけないものだな。"""
DamageSmall#46,"""むっ……。"""
DamageMiddle#46,"""うぬっ……。"""
DamageLarge#46,"""ぐっ……。"""
MemberDamaged#46,"""大丈夫か……？"""
MemberDead#46,"""こんなことになるとは……。"""
PartyJoin#55,"""よろしく頼む。"""
DestroyEnemy1#47,"""いいわね！"""
DestroyEnemy2#47,"""やったわ！"""
DestroyEnemy3#47,"""よしよし！"""
ThankHeal#47,"""ありがとう！"""
ThankBuff#47,"""助かるわ！"""
DefeatEnemy#47,"""付近に反応はないみたい。"""
LevelUp#47,"""私も負けてられないわ。"""
InvokeSkill1#46,"""えいっ！"""
InvokeSkill2#46,"""やあっ！"""
InvokeSkill3#46,"""これでっ！"""
TechFire#21,"""はっ。"""
TechIce#21,"""たあっ。"""
TechThunder#21,"""はあっ！"""
TechWind#21,"""はっ！"""
TechLight#21,"""やあっ！"""
TechDark#21,"""ふっ！"""
PBFull#47,"""うん、そろそろね……！"""
PBRelease#47,"""いっけえー！"""
Avoid#47,"""そうはいかない！"""
HealSelf#34,"""回復するわ。"""
BuffSelf#34,"""慎重にいくわ。"""
HealOther#47,"""これで大丈夫よ。"""
BuffOther#47,"""サポートするわ。"""
ItemRare#47,"""あなたラッキーね。"""
DamageSmall#47,"""あっ！"""
DamageMiddle#47,"""うっ！"""
DamageLarge#47,"""うぐっ！"""
MemberDamaged#47,"""無理しないでね！"""
MemberDead#47,"""下がってたほうがいいわ！"""
PartyJoin#56,"""私も一緒に戦うわ！"""
DestroyEnemy1#48,"""わお！"""
DestroyEnemy2#48,"""さっすがー！"""
DestroyEnemy3#48,"""すごいすごい！"""
ThankHeal#48,"""優しいんだね！"""
ThankBuff#48,"""サンキュー！"""
DefeatEnemy#48,"""上手くいったね！"""
LevelUp#48,"""すごーい、まだ強くなるんだね！"""
InvokeSkill1#47,"""えいっ！"""
InvokeSkill2#47,"""それっ！"""
InvokeSkill3#47,"""よしっ！"""
PBFull#48,"""いい感じに溜まったよ！"""
PBRelease#48,"""いっくよー！"""
Avoid#48,"""うわっと……！"""
HealSelf#35,"""回復しとこ。"""
BuffSelf#35,"""ふぅ。"""
HealOther#48,"""元気になって！"""
BuffOther#48,"""はい、これ！"""
ItemRare#48,"""あっ、いいなあ！"""
DamageSmall#48,"""わっ！"""
DamageMiddle#48,"""きゃっ！"""
DamageLarge#48,"""うっ！"""
MemberDamaged#48,"""だ、大丈夫!?"""
MemberDead#48,"""うそでしょ……！"""
PartyJoin#57,"""一緒に頑張ろうね！"""
DestroyEnemy1#49,"""いいぞ！"""
DestroyEnemy2#49,"""もっとやれ！"""
DestroyEnemy3#49,"""もっといけ！"""
ThankHeal#49,"""おお、すまない！"""
ThankBuff#49,"""おお、ありがとう！"""
DefeatEnemy#49,"""ふん、口ほどにもない！"""
LevelUp#49,"""キミは教え甲斐があるな！"""
InvokeSkill1#48,"""はあああ！"""
InvokeSkill2#48,"""たあああ！"""
InvokeSkill3#48,"""せいいい！"""
PBFull#49,"""よし、そろそろいいだろう！"""
PBRelease#49,"""この一撃に耐えれるか!?"""
Avoid#49,"""……ふんっ！"""
HealSelf#36,"""よし！"""
BuffSelf#36,"""ふむ！"""
HealOther#49,"""礼には及ばんぞ！"""
BuffOther#49,"""これを使っておけ！"""
ItemRare#49,"""大事に使うんだぞ！"""
DamageSmall#49,"""うっ！"""
DamageMiddle#49,"""むうっ！"""
DamageLarge#49,"""うぐっ！"""
MemberDamaged#49,"""怯むんじゃないぞ！"""
MemberDead#49,"""すまん、守り切れなかった……。"""
PartyJoin#58,"""よし、気合い入れていくぞ！"""
DestroyEnemy1#50,"""……よし。"""
DestroyEnemy2#50,"""……悪くない。"""
DestroyEnemy3#50,"""……その調子だ。"""
ThankHeal#50,"""……すまない。"""
ThankBuff#50,"""……悪いな。"""
DefeatEnemy#50,"""……すっきりしたな。"""
LevelUp#50,"""……着実に腕を上げているな。"""
InvokeSkill1#49,"""……はっ。"""
InvokeSkill2#49,"""……そこだ。"""
InvokeSkill3#49,"""……いくぞ。"""
PBFull#50,"""……覚悟はいいか？"""
PBRelease#50,"""……これで終わりだ。"""
Avoid#50,"""……ふっ。"""
HealOther#50,"""……まだやれるか？"""
BuffOther#50,"""……これを。"""
ItemRare#50,"""……ツイてるな。"""
DamageSmall#50,"""……うっ。"""
DamageMiddle#50,"""……くっ。"""
DamageLarge#50,"""……ぐっ。"""
MemberDamaged#50,"""……もっと集中しろ。"""
MemberDead#50,"""……下がっていろ。"""
PartyJoin#59,"""……共に戦おう。"""
DestroyEnemy1#51,"""いいわね。"""
DestroyEnemy2#51,"""その調子よ。"""
DestroyEnemy3#51,"""やるわね。"""
ThankHeal#51,"""あら、助かるわ。"""
ThankBuff#51,"""気が利くわね。"""
DefeatEnemy#51,"""まあ、こんなものね。"""
LevelUp#51,"""あたしも鼻が高いわ。"""
TechFire#22,"""熱いのいくわよ！"""
TechIce#22,"""冷たいのいくわよ！"""
TechThunder#22,"""しびれなさい！"""
TechWind#22,"""切り裂くわよ？"""
TechLight#22,"""眩しいわよ？"""
TechDark#22,"""闇を味わってみる？"""
PBFull#51,"""さあ、いくわよ……！"""
PBRelease#51,"""食らうがいいわ！"""
Avoid#51,"""危ないわね！"""
HealSelf#37,"""ふぅー……。"""
BuffSelf#37,"""これで大丈夫。"""
HealOther#51,"""しっかりするのよ。"""
BuffOther#51,"""もっと頑張ってちょうだい。"""
ItemRare#51,"""運がいいわね。"""
DamageSmall#51,"""痛いわね！"""
DamageMiddle#51,"""うっ！"""
DamageLarge#51,"""くっ！"""
MemberDamaged#51,"""次は気をつけるのよ。"""
MemberDead#51,"""あたしの教え子に……！"""
PartyJoin#60,"""あたしの戦いかた、ちゃんと見ておくのよ。"""
DestroyEnemy1#52,"""やるね。"""
DestroyEnemy2#52,"""いい動きだ。"""
DestroyEnemy3#52,"""負けていられないな。"""
Die#40,"""負けるわけにはいかないんだ……。"""
ThankHeal#52,"""ありがとう。"""
LevelUp#52,"""またひとつ成長したね。"""
InvokeSkill1#50,"""はっ！"""
InvokeSkill2#50,"""はあああっ！"""
InvokeSkill3#50,"""これはどうかな？"""
TechFire#23,"""どうだ！"""
TechIce#23,"""次はこれだ！"""
TechThunder#23,"""よっと！"""
TechWind#23,"""吹き飛べ！"""
TechLight#23,"""未来のために！"""
TechDark#23,"""これで！"""
PBFull#52,"""準備万端、いつでもいけるよ。"""
PBRelease#52,"""ハルファの平和のために。"""
Avoid#52,"""フッ！"""
HealSelf#38,"""ふぅ。"""
BuffSelf#38,"""よし。"""
HealOther#52,"""大丈夫かい？"""
BuffOther#52,"""僕が支えるよ。"""
ItemRare#52,"""それは、いいものだね。"""
DamageSmall#52,"""くっ！"""
DamageLarge#52,"""くうっ！"""
Resurrect#40,"""まだ僕にはやることがあるんだ。"""
PartyJoin#61,"""今回は僕も参加するよ。"""
DestroyEnemy1#53,"""ほう。"""
DestroyEnemy2#53,"""なかなかやるな。"""
DestroyEnemy3#53,"""悪くない。"""
Die#41,"""くっ、離脱する。"""
ThankHeal#53,"""すまない。"""
LevelUp#53,"""さらに、成長したな。"""
InvokeSkill1#51,"""ふっ！"""
InvokeSkill2#51,"""はあっ！"""
InvokeSkill3#51,"""目障りだ。"""
PBFull#53,"""俺に任せろ。"""
PBRelease#53,"""これで終わりだ。"""
Avoid#53,"""はっ！"""
HealSelf#39,"""ふぅ……。"""
BuffSelf#39,"""ここからが本番だ。"""
HealOther#53,"""無理はするな。"""
BuffOther#53,"""集中しろ。"""
ItemRare#53,"""ほう、よかったな。"""
DamageSmall#53,"""くっ！"""
DamageLarge#53,"""ぐうっ！"""
Resurrect#41,"""このままじゃ終われないよな……。"""
PartyJoin#62,"""よろしく頼む。"""
DestroyEnemy1#54,"""おぉ……。"""
DestroyEnemy2#54,"""いい腕です。"""
DestroyEnemy3#54,"""頼りにしてますよ。"""
Die#42,"""くっ……これ以上は……。"""
ThankHeal#54,"""ありがとうございます。"""
LevelUp#54,"""おめでとうございます！"""
InvokeSkill1#52,"""はっ！"""
InvokeSkill2#52,"""やあっ！"""
InvokeSkill3#52,"""まだまだ！"""
PBFull#54,"""任せてください。"""
PBRelease#54,"""終わりにしましょう。"""
Avoid#54,"""見切った！"""
HealSelf#40,"""まだ戦えます。"""
BuffSelf#40,"""慎重に行きましょう。"""
HealOther#54,"""無理は禁物です。"""
BuffOther#54,"""いけますか？"""
ItemRare#54,"""おや、良いものを。"""
DamageSmall#54,"""くっ。"""
DamageLarge#54,"""うっ。"""
Resurrect#42,"""まだまだやれます。"""
PartyJoin#63,"""お願いします。"""
DestroyEnemy1#55,"""すごいね……。"""
DestroyEnemy2#55,"""……やるなぁ。"""
DestroyEnemy3#55,"""君がいてくれてよかった……。"""
ThankHeal#55,"""あ、ありがとう……。"""
InvokeSkill1#53,"""やあっ！"""
InvokeSkill2#53,"""たあっ！"""
InvokeSkill3#53,"""あ、当たれ！"""
PBFull#55,"""準備できたよ……。"""
PBRelease#55,"""ぼ、僕だって……！"""
Avoid#55,"""わっ！"""
HealSelf#41,"""あぶなかった……。"""
BuffSelf#41,"""念には念を……。"""
HealOther#55,"""大丈夫？"""
BuffOther#55,"""がんばって……。"""
ItemRare#55,"""ついてるね。"""
DestroyEnemy1#56,"""さすがです！"""
DestroyEnemy2#56,"""僕も見習わなきゃ！"""
DestroyEnemy3#56,"""すごいすごい！"""
ThankHeal#56,"""助かりました！"""
InvokeSkill1#54,"""はっ！"""
InvokeSkill2#54,"""やっ！"""
