Category_All#0,"""Todo"""
ScenarioSelectConfirmText_1_6#0,"""<yellow>メインストーリー“6章”<c>から開始しますか？<br><br>メインストーリー“5章”<br>（浮島“ルシエル”を舞台にしたメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“つくられたセカイ”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_4_Playgo#0,"""<yellow>メインストーリー“4章”<c>から開始しますか？<br><br>メインストーリー“3章”<br>（クヴァリスリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“新たな戦いの始まり”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_5_Playgo#0,"""<yellow>メインストーリー“5章”<c>から開始しますか？<br><br>メインストーリー“4章”<br>（スティアリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“決戦の前に”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_6_Playgo#0,"""<yellow>メインストーリー“6章”<c>から開始しますか？<br><br>メインストーリー“5章”<br>（浮島“ルシエル”を舞台にしたメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク“つくられたセカイ”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_0_0#0,"""<yellow>メインストーリー”序章”<c><br>（チュートリアルストーリー）から開始しますか？"""
ScenarioSelectConfirmText_1_1#0,"""<yellow>メインストーリー”1章”<c>から開始しますか？<br><br>メインストーリー”序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<c>"""
ScenarioSelectConfirmText_1_2#0,"""<yellow>メインストーリー“2章”<c>から開始しますか？<br><br>メインストーリー“1章”<br>（エアリオリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”新たな任務”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_1_3#0,"""<yellow>メインストーリー“3章”<c>から開始しますか？<br><br>メインストーリー“2章”<br>（リテムリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク\""クヴァリスでの任務\""<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<c>"""
ScenarioSelectConfirmText_0_0_Playgo#0,"""<yellow>メインストーリー”序章”<c><br>（チュートリアルストーリー）から開始しますか？"""
ScenarioSelectConfirmText_1_1_Playgo#0,"""<yellow>メインストーリー”1章”<c>から開始しますか？<br><br>メインストーリー”序章”<br>（チュートリアルストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”最初の試練”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_2_Playgo#0,"""<yellow>メインストーリー“2章”<c>から開始しますか？<br><br>メインストーリー“1章”<br>（エアリオリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク”新たな任務”<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
ScenarioSelectConfirmText_1_3_Playgo#0,"""<yellow>メインストーリー“3章”<c>から開始しますか？<br><br>メインストーリー“2章”<br>（リテムリージョンのメインストーリー）を、<br>他のキャラクターでクリア済みの場合、<br><yellow>メインタスク\""クヴァリスでの任務\""<c>から<br>ゲームを始めることができます。<br><br><yellow>※スキップしたタスクの報酬は、獲得できません。<br>\u3000スキップ後、レベルアップした状態で開始されます。<br>※ダウンロードが完了していない場合、<br>\u3000タイトル画面に戻ります。<c>"""
Label_Type1#0,"""Dar prioridad al tipo 1"""
Label_Type2#0,"""Dar prioridad al tipo 2"""
Label_Notice#2,"""Selecciona si se da prioridad al Tipo 1 o al Tipo 2 para la <br>reproducción en emotes y movimientos.<br><br><yellow>Nota: El cambio se aplicará a todos los emotes <br>y movimientos.<br>"""
Popup_Remove#1,"""外す"""
Popup_RemoveBodyPaint#0,"""ボディペイントを外す"""
Popup_ChangeColorInner1#0,"""[In]カラー１を変更"""
Popup_ChangeColorInner2#0,"""[In]カラー２を変更"""
Popup_ChangeColorBasewear1#0,"""[Ba]カラー１を変更"""
Popup_ChangeColorBasewear2#0,"""[Ba]カラー２を変更"""
Popup_ChangeColorSetwear1#0,"""[Se]カラー１を変更"""
Popup_ChangeColorSetwear2#0,"""[Se]カラー２を変更"""
Popup_ChangeColorOuter1#0,"""[Ou]カラー１を変更"""
Popup_ChangeColorOuter2#0,"""[Ou]カラー２を変更"""
Popup_ChangeColorSkin1#0,"""肌カラーを変更"""
Popup_ChangeColorSkin2#0,"""肌の血色を変更"""
Title_ChangeColorInner1#0,"""インナーカラー１"""
Title_ChangeColorInner2#0,"""インナーカラー２"""
Title_ChangeColorBasewear1#0,"""ベースウェアカラー１"""
Title_ChangeColorBasewear2#0,"""ベースウェアカラー２"""
Title_ChangeColorSetwear1#0,"""セットウェアカラー１"""
Title_ChangeColorSetwear2#0,"""セットウェアカラー２"""
Title_ChangeColorOuter1#0,"""アウターカラー１"""
Title_ChangeColorOuter2#0,"""アウターカラー２"""
Title_ChangeColorSkin1#0,"""肌カラー"""
Title_ChangeColorSkin2#0,"""肌の血色"""
Popup_ChangeColorCastMain#0,"""メインカラーを変更"""
Popup_ChangeColorCastSub1#0,"""サブカラー１を変更"""
Popup_ChangeColorCastSub2#0,"""サブカラー２を変更"""
Popup_ChangeColorCastSub3#0,"""サブカラー３を変更"""
Popup_ChangeColorEye1#0,"""右の瞳カラーを変更"""
Popup_ChangeColorEye2#0,"""左の瞳カラーを変更"""
Popup_ChangeColorEyebrow#0,"""まゆカラーを変更"""
Popup_ChangeColorEyelash#0,"""まつげカラーを変更"""
Popup_ChangeColorHair1#0,"""ヘアカラー１を変更"""
Popup_ChangeColorHair2#0,"""ヘアカラー２を変更"""
Title_ChangeColorCastMain#0,"""メインカラーを変更"""
Title_ChangeColorCastSub1#0,"""サブカラー１を変更"""
Title_ChangeColorCastSub2#0,"""サブカラー２を変更"""
Title_ChangeColorCastSub3#0,"""サブカラー３を変更"""
Title_ChangeColorHair1#0,"""ヘアカラー１を変更"""
Title_ChangeColorHair2#0,"""ヘアカラー２を変更"""
Title_ChangeColorEye1#0,"""右の瞳カラーを変更"""
Title_ChangeColorEye2#0,"""左の瞳カラーを変更"""
Title_ChangeColorEyelash#0,"""まつげカラーを変更"""
Title_ChangeColorEyebrow#0,"""まゆカラーを変更"""
Label_CastMainColorShort#0,"""メイン"""
Label_CastSubColor1Short#0,"""サブ1"""
Label_CastSubColor2Short#0,"""サブ2"""
Label_CastSubColor3Short#0,"""サブ3"""
Label_CheckboxExplanation#0,"""カラー同期先をまとめて変更します。"""
Label_Checkbox#0,"""同期する（仮）"""
Label_Reset#0,"""初期化する"""
Title_Reset#0,"""初期化確認"""
Message_Reset#0,"""カラー同期設定を初期化します。<br>よろしいですか？"""
Label_SyncCheckbox#0,"""まとめて変更"""
Tab_Palletcolor#0,"""頭部・身体・ファッション"""
Tab_Accessory#0,"""アクセサリー"""
Tab_Castparts#0,"""キャストパーツ"""
Help_NoAccessory_Explanation#0,"""装備中のアクセサリーはありません"""
Label_Character#0,"""キャラクターカラー設定"""
Label_Castparts#0,"""キャストパーツカラー設定"""
Label_Wearcolor#0,"""コスチュームカラー設定"""
Label_Checkall#0,"""カラー同期"""
Label_Checkall_Comment#0,"""各アクセサリーのカラー設定をまとめて変更します。"""
Title_Init_Accse#0,"""元の色に戻す"""
Message_Reset_Accse#0,"""すべてのアクセサリーの色を<br>元の色に戻します。<br><br>よろしいですか？"""
Button_Headcolorsync#0,"""頭部のカラー同期設定"""
Title_Headcolorsync#0,"""頭部のカラー同期設定"""
