CorrectionAssignMapTitle#0,"""조작 설정 복원"""
Config_097_Hint_Switch#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_097_Hint_PCCloud#0,"""他のプレイヤーがダークブラストを使用した時の<br>見た目を設定します。<br><br>【他者の設定に従う】<br>他のプレイヤーの設定に従って表示します。<br><br>【オーラ表示】<br>ダークブラストの見た目をオーラ表示にします。<br>透明度は他プレイヤーの設定が反映されます。<br><br>【キャラクター表示】<br>ダークブラストを表示せず<br>常にキャラクターを表示します。"""
Config_098_Hint#0,"""BGM 볼륨을 설정합니다."""
Config_099_Hint#0,"""SE 볼륨을 설정합니다."""
Config_100_Hint#0,"""보이스 볼륨을 설정합니다."""
Config_101_Hint#0,"""アークス・ロビーに設置されている<br>巨大モニターなどで表示される動画の<br>音量を設定します。"""
Config_102_Name#0,"""サラウンド設定"""
Config_102_Choices_0#0,"""ON"""
Config_102_Choices_1#0,"""OFF"""
Config_102_Hint#0,"""서라운드 효과의 ON/OFF를 바꿉니다."""
Config_103_Name#0,"""글로벌 포커스 사운드 설정"""
Config_103_Hint#0,"""게임이 활성화 되어 있지 않은 상태에서도<br>사운드를 재생할지 설정합니다."""
Config_104_Name#0,"""이펙트 광원"""
Config_104_Hint#0,"""이펙트와 관련된 라이팅 ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_105_Name#0,"""지형 광원"""
Config_105_Hint#0,"""지형과 관련된 조명의 ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_105_Hint_PS4#0,"""지형과 관련된 조명의 ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_105_Hint_Switch#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_105_Hint_PCCloud#0,"""地形に関係するライティングの<br>ON/OFFを切り替えます。"""
Config_106_Name#0,"""블룸 처리"""
Config_106_Hint#0,"""밝은 부분에 필터를 적용시켜 화면 전체를<br>한층 더 예쁘게 보이게 하는 효과의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_106_Hint_PS4#0,"""밝은 부분에 필터를 적용시켜 화면 전체를<br>한층 더 예쁘게 보이게 하는 효과의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_107_Name#0,"""피사계 심도"""
Config_107_Hint#0,"""일부 이벤트 장면 등에서 배경을<br>흐리게 하는 효과의 ON/OFF를 변경합니다.<br><br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_107_Hint_PS4#0,"""일부 이벤트 장면 등에서 배경을<br>흐리게 하는 효과의 ON/OFF를 변경합니다.<br><br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_108_Name#0,"""블러"""
Config_108_Hint#0,"""카메라나 캐릭터의 움직임에 맞추어<br>잔상과 같은 효과를 표현하는 기능의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_109_Name#0,"""라이트 샤프트"""
Config_109_Hint#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_109_Hint_PS4#0,"""光が太陽を中心に拡散する表現の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_110_Name#0,"""안티에일리어싱"""
Config_110_Hint#0,"""곡선이나 대각선의 선을 매끄럽게 그리는 기능입니다.<br><br>설정에 따라 처리 부하가 달라져<br>OFF로 전환하면 처리가 다소 가벼워집니다<br><br>※TAA를 포함한 설정으로 하면<br>일부 『PSO2』아이템 등의<br>외형이 달라질 수 있습니다."""
Config_111_Name#0,"""ソフトパーティクル"""
Config_111_Hint#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_111_Hint_PS4#0,"""エフェクトの粒子（パーティクル）が<br>地面に近づいた際に薄くなる効果です。<br>一部エフェクトにのみ適用されます。<br><br>OFFにすると処理が多少軽くなります。"""
Config_112_Name#0,"""一部のエフェクトの発光を軽減する"""
Config_112_Choices_0#0,"""通常"""
Config_112_Choices_1#0,"""軽減する"""
Config_112_Hint#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_Switch#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_112_Hint_PCCloud#0,"""一部のエフェクトの光り方の強弱を切り替えます。<br>「軽減する」を選択すると、光り方が弱くなります。"""
Config_113_Name#0,"""他者の一部エフェクトを透過する範囲"""
Config_113_Choices_0#0,"""近くのエフェクトのみ"""
Config_113_Choices_1#0,"""距離に関わらず透過"""
Config_113_Hint#0,"""他プレイヤーからの一部のエフェクトを<br>透過する範囲を設定します。<br><br>「距離に関わらず透過」を選択すると<br>すべての範囲で一部エフェクトを透過します。"""
Config_114_Name#0,"""앰비언트 오클루전"""
Config_114_Hint#0,"""물체의 모서리에 생기는 그림자를<br>더욱 정밀하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_114_Hint_PS4#0,"""물체의 모서리에 생기는 그림자를<br>더욱 정밀하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_115_Name#0,"""주연감광"""
Config_115_Hint#0,"""화면의 외연부를 어둡게 하는 기능의<br>ON/OFF를 바꿉니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_115_Hint_PS4#0,"""화면의 외연부를 어둡게 하는 기능의<br>ON/OFF를 바꿉니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_116_Name#0,"""색조 톤 곡선"""
Config_116_Hint#0,"""화면 전체의 색조, 대비, 밝기를 필드마다 조정하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_116_Hint_PS4#0,"""화면 전체의 색조, 대비, 밝기를 필드마다 조정하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_116_Hint_Switch#0,"""화면 전체의 색조, 대비, 밝기를 필드마다 조정하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_116_Hint_PCCloud#0,"""화면 전체의 색조, 대비, 밝기를 필드마다 조정하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_117_Name#0,"""エッジライト"""
Config_117_Hint#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。<br><br>ゲームランチャーの環境設定からシェーダー品質を<br>「高品質」に設定することで使用できるようになります。"""
Config_117_Hint_PS4#0,"""オブジェクトの周囲にかかる光量を調整します。<br><br>OFFにすると処理が多少軽くなります。"""
Config_117_Hint_Switch#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_117_Hint_PCCloud#0,"""オブジェクトの周囲にかかる光量を調整します。"""
Config_118_Name#0,"""해상도 자동 축소 기능"""
Config_118_Hint_PS4#0,"""부하가 높을 때해상도를 낮춰<br>높은 프레임 레이트를 유지하는 기능의<br>ON/ON를 설정합니다.<br>OFF로 하시면 전투 증 등일 때<br>프레임 레이트가 낮아질 수 있습니다."""
Config_119_Hint#0,"""무기 등을 상세하게 묘사 할<br>캐릭터의 최대 수를 설정합니다.<br>수치를 낮추면 처리가 다소 가벼워집니다."""
Config_120_Hint#0,"""フォトンブラストの表示数を設定します。<br><br>数値を下げると処理が多少軽くなります。"""
Config_121_Hint#0,"""水面への映り込みのクオリティを設定します。<br><br>数値を下げると処理が多少軽くなります。"""
Config_122_Hint#0,"""물체에 떨어지는 그림자를 어느정도로<br>정밀하게 묘사할지를 설정합니다.<br>수치를 낮추면 처리가 다소 가벼워집니다."""
Config_124_Hint_PS4#0,"""画面の明るさを設定します。<br>数値を下げると画面全体の明るさを<br>おさえることができます。"""
Config_123_Hint#0,"""カメラが向いている方向の光量を調節して<br>画面の明るさを設定します。<br><br>数値を0にすると処理が多少軽くなります。"""
Config_125_Hint#0,"""マウス操作時のカメラ回転速度を補正します。<br>数値を下げることでマウス操作時の<br>カメラ回転速度がゆっくりになります。"""
Config_127_Name#0,"""他者のアクセサリー非表示機能"""
Config_127_Choices_0#0,"""사용 안함"""
Config_127_Choices_1#0,"""블록 리스트 대상"""
Config_127_Choices_2#0,"""모든 캐릭터"""
Config_127_Hint#0,"""他者のアクセサリーを表示するかを設定します。<br>「PSO2ブロックリスト対象者」「すべてのキャラクター」<br>を選択すると、対象となるプレイヤーキャラクターの<br>アクセサリーが非表示になります。"""
Config_128_Name#0,"""보이스 채팅 기능"""
Config_128_Choices_0#0,"""사용"""
Config_128_Choices_1#0,"""사용 안함"""
Config_128_Hint#0,"""보이스 채팅을 사용할지 말지 설정합니다.<br>사용하지 않는 경우 자신의 목소리나 다른 플레이어의<br>보이스가 들리지 않는 상태가 됩니다."""
Config_129_Name#0,"""ウィッシュリスト、プレゼントリスト項目"""
Config_129_Choices_0#0,"""표시 안함"""
Config_129_Choices_1#0,"""항상 표시"""
Config_129_Hint#0,"""アイテムメニューに<br>「ウィッシュリストに追加」<br>「プレゼントリストに追加」の項目を<br>表示するかを設定します。"""
Config_130_Name#0,"""素材倉庫への自動送り"""
Config_130_Choices_0#0,"""사용"""
Config_130_Choices_1#0,"""사용 안함"""
Config_130_Hint#0,"""『オーダーアイテム／素材』カテゴリーの<br>アイテムを取得した際、素材倉庫が有効な場合に<br>自動で素材倉庫へ送るかを設定します。<br><br>【対象となる取得方法】<br>・ドロップアイテム<br>・ギャザリング<br>・Eトライアル報酬<br>・クエストのリザルト報酬"""
Config_Reb_001_Name#0,"""레이더 맵의 회전 방법"""
Config_Reb_001_Hint#0,"""레이더 맵을 카메라의 방향에 맞춰<br>회전시킬지를 설정합니다."""
Config_Reb_001_Select_0#0,"""회전하지 않음"""
Config_Reb_001_Select_1#0,"""회전"""
Config_Reb_002_Name#0,"""공격 속성에 따른 HP 바의 컬러"""
Config_Reb_002_Hint#0,"""데미지를 받았을 때 감소되는 HP 바 색상을<br>공격 속성에 의존해서 표시할지 설정합니다."""
Config_Reb_002_Select_0#0,"""바꾸지 않는다"""
Config_Reb_002_Select_1#0,"""속성에 따라 바꾼다"""
Config_Reb_003_Name#0,"""서브 팔레트의 아이콘 이름 표시"""
Config_Reb_003_Hint#0,"""サブパレットの選択時に、<br>アイコンの名称を表示するかを設定します。"""
Config_Reb_003_Select_0#0,"""표시 안함"""
Config_Reb_003_Select_1#0,"""전환 할때만 표시"""
Config_Reb_003_Select_2#0,"""항상 표시"""
Config_Reb_004_Name#0,"""레어 아이템 드랍 연출 표시"""
Config_Reb_004_Hint#0,"""레어 아이템의 드랍 연출을<br>표시할지 설정합니다."""
Config_Reb_004_Select_0#0,"""표시 안함"""
Config_Reb_004_Select_1#0,"""SE만 재생한다"""
Config_Reb_004_Select_2#0,"""항상 표시"""
Config_Reb_005_Name#0,"""볼륨 포그"""
Config_Reb_005_Hint#0,"""빛이 안개나 지리에 반사되는 표현의<br>ON/OFF를 변경합니다.<br>OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_006_Name#0,"""캐릭터 메뉴 표시 형식"""
Config_Reb_006_Hint#0,"""주위의 캐릭터를 선택했을 때 등 표시하는<br>캐릭터 메뉴의 형식을 설정합니다."""
Config_Reb_006_Select_0#0,"""카테고리"""
Config_Reb_006_Select_1#0,"""목록"""
Config_Reb_007_Name#0,"""復帰プレイヤーアイコン表示"""
Config_Reb_007_Hint#0,"""復帰プレイヤーアイコンを<br>表示するかしないかを設定します。<br>※アイコンを表示しなくても<br> 各ボーナスは受けられます。"""
Config_Reb_007_Select_0#0,"""표시 안함"""
Config_Reb_007_Select_1#0,"""항상 표시"""
Config_Reb_008_Name#0,"""게임 내 모니터 영상 재생"""
Config_Reb_008_Hint#0,"""시티 등에 설치된 모니터에서<br>동영상을 재생할지 설정합니다."""
Config_Reb_008_Select_0#0,"""재생 안함"""
Config_Reb_008_Select_1#0,"""재생"""
Config_Reb_009_Name#0,"""파티 설정 저장"""
Config_Reb_009_Hint#0,"""파티 설정을 저장해서 블록 이동이나<br>로그아웃을 해도 유지할지 설정합니다.<br>※게임을 종료하기 전까지 유효합니다."""
Config_Reb_009_Select_0#0,"""저장하지 않는다"""
Config_Reb_009_Select_1#0,"""저장한다"""
Config_Reb_010_Name#0,"""イベント注目機能"""
Config_Reb_010_Hint#0,"""イベント発生時にアクセスボタンをホールドして<br>イベント注目をする機能を使用するか設定します。"""
Config_Reb_010_Select_0#0,"""사용 안함"""
Config_Reb_010_Select_1#0,"""사용"""
Config_Reb_011_Name#0,"""다른 파티의 캐릭터 이름 색상"""
Config_Reb_011_Hint#0,"""다른 파티에 참석 중인 캐릭터 이름을<br>무슨 색으로 표시할지 설정합니다."""
Config_Reb_011_Select_0#0,"""하얀색"""
Config_Reb_011_Select_1#0,"""파란색"""
Config_Reb_012_Name#0,"""퀘스트 수주 시 파티명"""
Config_Reb_012_Hint#0,"""파티명을 입력하지 않고 퀘스트를 수주할 시<br>자동적으로 입력되는 파티명을 선택합니다.<br><br>【퀘스트 이름】<br>난이도의 약칭과 퀘스트 이름으로 설정합니다.<br><br>【캐릭터 이름】<br>수주한 캐릭터의 이름으로 설정합니다."""
Config_Reb_012_Select_0#0,"""퀘스트 이름"""
Config_Reb_012_Select_1#0,"""캐릭터 이름"""
Config_Reb_013_Name#0,"""ビギナーブロック優先ログイン設定"""
Config_Reb_013_Hint#0,"""レベル20以下のキャラクターでログインする時、<br>優先的にビギナーブロックへ入るか選択します。"""
Config_Reb_013_Select_0#0,"""優先しない"""
Config_Reb_013_Select_1#0,"""優先する"""
Config_Reb_014_Name#0,"""倉庫の初期カーソル位置設定"""
Config_Reb_014_Hint#0,"""倉庫端末やマイショップ出品時<br>NPCショップでのアイテム売買において<br>倉庫UIが表示された時の<br>初期カーソル位置を設定します。"""
Config_Reb_014_Select_0#0,"""すべての倉庫"""
Config_Reb_014_Select_1#0,"""基本倉庫"""
Config_Reb_014_Select_2#0,"""キャラ倉庫"""
Config_Reb_014_Select_3#0,"""プレミアム倉庫"""
Config_Reb_014_Select_4#0,"""ＯＴＰ倉庫"""
Config_Reb_014_Select_5#0,"""PSO2es倉庫"""
Config_Reb_015_Name#0,"""퀘스트 수주 시 초기 커서 위치"""
Config_Reb_015_Hint#0,"""다수 블록 매칭이 가능한 퀘스트를 수주할 시<br>커서 위치를 어느 쪽으로 할지 설정합니다.<br>※일부 퀘스트는 제외됩니다."""
Config_Reb_015_Select_0#0,"""다수 블록 검색"""
Config_Reb_015_Select_1#0,"""현재 블록으로 수주"""
Config_Reb_016_Name#0,"""파티 초대 알림"""
Config_Reb_016_Hint#0,"""파티에 초대되었을 때<br>새로운 알림창을 표시할지 설정합니다."""
Config_Reb_016_Select_0#0,"""표시 안함"""
Config_Reb_016_Select_1#0,"""항상 표시"""
Config_Reb_017_Name#0,"""프렌드 등록 알림"""
Config_Reb_017_Hint#0,"""프렌드 등록을 신청했을 때<br>새로운 알림창을 표시 설정합니다."""
Config_Reb_017_Select_0#0,"""표시 안함"""
Config_Reb_017_Select_1#0,"""항상 표시"""
Config_Reb_018_Name#0,"""팀 스카웃 알림"""
Config_Reb_018_Hint#0,"""팀에 스카웃되었을 때<br>새로운 알림창을 표시할지 설정합니다."""
Config_Reb_018_Select_0#0,"""표시 안함"""
Config_Reb_018_Select_1#0,"""항상 표시"""
Config_Reb_019_Name#0,"""トレード申し込み通知"""
Config_Reb_019_Hint#0,"""トレードを提案された時、<br>返答選択ウィンドウを表示するかを設定します。"""
Config_Reb_019_Select_0#0,"""표시 안함"""
Config_Reb_019_Select_1#0,"""항상 표시"""
Config_Reb_020_Name#0,"""아이템 획득 시 로그 표시"""
Config_Reb_020_Hint#0,"""아이템을 얻었을 때<br>로그에 표시 할지 설정합니다."""
Config_Reb_020_Select_0#0,"""표시 안함"""
Config_Reb_020_Select_1#0,"""항상 표시"""
Config_Reb_021_Name#0,"""프리미엄 세트 유효기간 만료 알림"""
Config_Reb_021_Hint#0,"""프리미엄 세트의<br>유효기간이 만료되기 1주 전<br>로그인 시 얼마나 남았는가<br>표시할지 설정합니다."""
Config_Reb_021_Select_0#0,"""표시 안함"""
Config_Reb_021_Select_1#0,"""항상 표시"""
Config_Reb_022_Name#0,"""おすすめオーダーの通知"""
Config_Reb_022_Hint#0,"""おすすめクエストを受注した時<br>おすすめオーダーの受注メニューを<br>表示するかを設定します。"""
Config_Reb_022_Select_0#0,"""표시 안함"""
Config_Reb_022_Select_1#0,"""항상 표시"""
Config_Reb_023_Name#0,"""파티 내 레어 아이템 획득 알림"""
Config_Reb_023_Hint#0,"""파티 멤버가 레어 아이템을<br>획득했을 때 표시를 할지<br>설정합니다."""
Config_Reb_023_Select_0#0,"""표시 안함"""
Config_Reb_023_Select_1#0,"""항상 표시"""
Config_Reb_024_Name#0,"""복수 블록 매칭 퀘스트 수주 확인 표시"""
Config_Reb_024_Hint#0,"""パーティーリーダーが複数ブロックマッチングで<br>クエストを受注した時、受注確認のウィンドウを<br>自動で開くかを設定します。"""
Config_Reb_024_Select_0#0,"""표시 안함"""
Config_Reb_024_Select_1#0,"""항상 표시"""
Config_Reb_025_Name#0,"""로그인 콜 송신"""
Config_Reb_025_Hint#0,"""내가 로그인했을 때 친구에게<br>로그인 콜을 보낼지 설정합니다."""
Config_Reb_025_Select_0#0,"""보내지 않기"""
Config_Reb_025_Select_1#0,"""보내기"""
Config_Reb_026_Name#0,"""다른 플레이어의 전투 불능 알림"""
Config_Reb_026_Hint#0,"""파티 멤버를 포함해 다른 플레이어의<br>전투 불능 알림을<br>표시할지 설정합니다."""
Config_Reb_026_Select_0#0,"""표시 안함"""
Config_Reb_026_Select_1#0,"""항상 표시"""
Config_Reb_027_Name#0,"""나의 전투 불능 통지"""
Config_Reb_027_Hint#0,"""내가 전투 불능 상태가 되었을 때<br>주위의 플레이어에게 전투 불능<br>아이콘을 표시할지 설정합니다.<br><yellow>※상대방의 표시 설정이 OFF일 경우<br>상대에게 전투 불능 아이콘이 표시되지 않습니다.<c>"""
Config_Reb_027_Select_0#0,"""표시 안함"""
Config_Reb_027_Select_1#0,"""항상 표시"""
Config_Reb_028_Name#0,"""에스테 체형 변경 동기 설정 1"""
Config_Reb_028_Hint#0,"""에스테에서 코스튬이나<br>캐스트 부품을 변경할 때<br><yellow>인간형과 캐스트형의 체형<c>을<br>자동으로 변환할 지<br>개별적으로 편집할지 설정합니다."""
Config_Reb_028_Select_0#0,"""자동 변환 하기"""
Config_Reb_028_Select_1#0,"""개별로 편집하기"""
Config_Reb_029_Name#0,"""록온 조작"""
Config_Reb_029_Hint#0,"""록온 조작의 전환 방법을 설정합니다.<br>할당된 키나 버튼을 눌렀을 때 바꿀지<br>누르고 있는 동안 바꿀지 설정합니다."""
Config_Reb_029_Select_0#0,"""푸쉬"""
Config_Reb_029_Select_1#0,"""홀드"""
Config_Reb_030_Name#0,"""<%RStick>으로 록온 대상 전환"""
Config_Reb_030_Hint#0,"""록온 중에<br><%RStick>으로 대상을 전환하는 기능을<br>사용할지를 설정합니다."""
Config_Reb_030_Select_0#0,"""사용 안함"""
Config_Reb_030_Select_1#0,"""사용"""
Config_Reb_031_Name#0,"""뒷면 팔레트 교체"""
Config_Reb_031_Hint#0,"""뒷면 팔레트 전환 조작으로<br>버튼이나 키를 누를 때마다 전환할지<br>누르고 있는 동안만 전환할지 선택합니다."""
Config_Reb_031_Select_0#0,"""푸쉬"""
Config_Reb_031_Select_1#0,"""홀드"""
Config_Reb_032_Name#0,"""회피 조작 이동 키 2회 누름 간격"""
Config_Reb_032_Hint#0,"""키보드의 캐릭터 이동 키<br>(초기 설정 [W]/[A]/[S]/[D]키)를<br>2회 누르고 “회피 액션”을 할 떄의<br>입력 받는 간격을 설정합니다."""
Config_Reb_032_Select_0#0,"""길게"""
Config_Reb_032_Select_1#0,"""중간"""
Config_Reb_032_Select_2#0,"""짧게"""
Config_Reb_032_Select_3#0,"""2회 입력 무효"""
Config_Reb_033_Name#0,"""일반 시점 : 카메라 좌우 회전 방향"""
Config_Reb_033_Hint#0,"""카메라의 좌우 회전 방향을 설정합니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_033_Select_0#0,"""일반"""
Config_Reb_033_Select_1#0,"""반전"""
Config_Reb_034_Name#0,"""일반 시점 : 카메라 상하 회전 방향"""
Config_Reb_034_Hint#0,"""카메라의 상하 회전 방향을 설정합니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_034_Select_0#0,"""일반"""
Config_Reb_034_Select_1#0,"""반전"""
Config_Reb_035_Name#0,"""일반 시점 : 카메라 좌우 회전 속도"""
Config_Reb_035_Hint#0,"""카메라의 좌우 회전 속도를 설정합니다<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_036_Name#0,"""일반 시점 : 카메라 상하 회전 속도"""
Config_Reb_036_Hint#0,"""카메라의 상하 회전 속도를 설정합니다<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_037_Name#0,"""일반 시점 : 마우스 우선 조작"""
Config_Reb_037_Hint#0,"""마우스로 조작할 때 카메라 조작을<br>먼저 할지 마우스 커서의 조작을<br>먼저 할지를 설정합니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_037_Select_0#0,"""카메라"""
Config_Reb_037_Select_1#0,"""마우스 커서"""
Config_Reb_038_Name#0,"""TPS 시점 : 카메라 좌우 회전 방향"""
Config_Reb_038_Hint#0,"""카메라의 좌우 회전 방향을 설정합니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_038_Select_0#0,"""일반"""
Config_Reb_038_Select_1#0,"""반전"""
Config_Reb_039_Name#0,"""TPS 시점 : 카메라 상하 회전 방향"""
Config_Reb_039_Hint#0,"""카메라의 상하 회전 방향을 설정합니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_039_Select_0#0,"""일반"""
Config_Reb_039_Select_1#0,"""반전"""
Config_Reb_040_Name#0,"""TPS 시점 : 카메라 좌우 회전 속도"""
Config_Reb_040_Hint#0,"""카메라의 좌우 회전 속도를 설정합니다<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_041_Name#0,"""TPS 시점 : 카메라 상하 회전 속도"""
Config_Reb_041_Hint#0,"""카메라의 상하 회전 속도를 설정합니다<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_042_Name#0,"""TPS 시점 : 마우스 우선 조작"""
Config_Reb_042_Hint#0,"""마우스로 조작할 때 카메라 조작을<br>먼저 할지 마우스 커서의 조작을<br>먼저 할지를 설정합니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_042_Select_0#0,"""카메라"""
Config_Reb_042_Select_1#0,"""마우스 커서"""
Config_Reb_047_Name#0,"""다이렉트 챗 사용"""
Config_Reb_047_Hint#0,"""키보드를 채팅 등의 문자 입력에만<br>사용할지를 설정합니다.<br><br><yellow>※“사용”을 선택하면 캐릭터의<br>이동액션 기능이 비활성화 됩니다.<c>"""
Config_Reb_047_Select_0#0,"""사용 안함"""
Config_Reb_047_Select_1#0,"""사용"""
Config_Reb_048_Name#0,"""오토 워드 사용"""
Config_Reb_048_Hint#0,"""오토 워드를 사용할지 설정합니다.<br><yellow>“사용안함”을 선택하면<br>오토워드를 설정해도<br>말하지 않게 됩니다."""
Config_Reb_048_Select_0#0,"""사용 안함"""
Config_Reb_048_Select_1#0,"""사용"""
Config_Reb_049_Name#0,"""다른 플레이어의 오토 워드 표시 : 이벤트"""
Config_Reb_049_Hint#0,"""다른 플레이어의 오토 워드 “이벤트”를<br>표시할지 설정합니다."""
Config_Reb_049_Select_0#0,"""표시 안함"""
Config_Reb_049_Select_1#0,"""항상 표시"""
Config_Reb_091_Name#0,"""다른 플레이어의 오토 워드 표시 : 멤버"""
Config_Reb_091_Hint#0,"""다른 플레이어의 오토 워드 “멤버”를<br>표시할지 설정합니다."""
Config_Reb_091_Select_0#0,"""표시 안함"""
Config_Reb_091_Select_1#0,"""항상 표시"""
Config_Reb_092_Name#0,"""다른 플레이어의 오토 워드 표시 : 액션"""
Config_Reb_092_Hint#0,"""다른 플레이어의 오토 워드 “액션”을<br>표시할지 설정합니다."""
Config_Reb_092_Select_0#0,"""표시 안함"""
Config_Reb_092_Select_1#0,"""항상 표시"""
Config_Reb_050_Name#0,"""오토 워드 로그 표시"""
Config_Reb_050_Hint#0,"""오토 워드를 로그에 표시할지 설정합니다."""
Config_Reb_050_Select_0#0,"""표시 안함"""
Config_Reb_050_Select_1#0,"""항상 표시"""
Config_Reb_051_Name#0,"""매일 답장 시 상대 문장 인용"""
Config_Reb_051_Hint#0,"""메일 답장 시<br>상대방의 문장을 인용할지 설정합니다."""
Config_Reb_051_Select_0#0,"""인용 안함"""
Config_Reb_051_Select_1#0,"""인용"""
Config_Reb_053_Name#0,"""팀 챗의 말풍선 표시"""
Config_Reb_053_Hint#0,"""팀 채팅의 말풍선을<br>표시할지 설정합니다."""
Config_Reb_053_Select_0#0,"""전부 표시"""
Config_Reb_053_Select_1#0,"""같은 에어리어만"""
Config_Reb_053_Select_2#0,"""표시 안함"""
Config_Reb_054_Name#0,"""심볼 아트 표시"""
Config_Reb_054_Hint#0,"""심볼 아트를 표시할지 설정합니다.<br><yellow>※“표시 안함”을 선택하면<br>자신의 심볼 아트도<br>다른 플레이어의 심볼 아트도<br>표시되지 않게 됩니다.<c>"""
Config_Reb_054_Select_0#0,"""표시 안함"""
Config_Reb_054_Select_1#0,"""항상 표시"""
Config_Reb_055_Name#0,"""채팅 발언자 이름 표시 방법"""
Config_Reb_055_Hint#0,"""팀 채팅, 귓속말,그룹 채팅의<br>발언자 이름을 어떻게 표시할지 정합니다."""
Config_Reb_055_Select_0#0,"""플레이어 ID 네임"""
Config_Reb_055_Select_1#0,"""캐릭터 이름"""
Config_Reb_056_Name#0,"""채팅 입력란의 배경색"""
Config_Reb_056_Hint#0,"""채팅 입력란의 배경색을<br>파티 채팅, 팀 채팅 등<br>항목별로 변경할지 설정합니다."""
Config_Reb_056_Select_0#0,"""색 변경 없음"""
Config_Reb_056_Select_1#0,"""색 변경"""
Config_Reb_057_Name#0,"""BGM 볼륨"""
Config_Reb_057_Hint#0,"""BGM 볼륨을 설정합니다."""
Config_Reb_058_Name#0,"""SE 볼륨"""
Config_Reb_058_Hint#0,"""SE 볼륨을 설정합니다."""
Config_Reb_059_Name#0,"""보이스 볼륨"""
Config_Reb_059_Hint#0,"""보이스 볼륨을 설정합니다."""
Config_Reb_060_Name#0,"""게임 내 영상 볼륨"""
Config_Reb_060_Hint#0,"""게임 내 영상 볼륨을 설정합니다."""
Config_Reb_061_Name#0,"""서라운드"""
